id,country,sex,height_cm
rhop00001,AUSTRALIA,man,189
rhop00002,AUSTRALIA,man,165
rhop00003,AUSTRALIA,man,189
rhop00004,AUSTRALIA,man,164
rhop00005,AUSTRALIA,man,192
rhop00006,AUSTRALIA,man,177
rhop00007,AUSTRALIA,man,162
rhop00008,AUSTRALIA,man,175
rhop00009,AUSTRALIA,man,186
rhop00010,AUSTRALIA,man,170
rhop00011,AUSTRALIA,man,172
rhop00012,AUSTRALIA,man,183
rhop00013,AUSTRALIA,man,164
rhop00014,AUSTRALIA,man,187
rhop00015,AUSTRALIA,man,182
rhop00016,AUSTRALIA,man,182
rhop00017,AUSTRALIA,man,191
rhop00018,AUSTRALIA,man,189
rhop00019,AUSTRALIA,man,186
rhop00020,AUSTRALIA,man,191
rhop00021,AUSTRALIA,man,171
rhop00022,AUSTRALIA,man,178
rhop00023,AUSTRALIA,man,171
rhop00024,AUSTRALIA,man,166
rhop00025,AUSTRALIA,man,164
rhop00026,AUSTRALIA,man,180
rhop00027,AUSTRALIA,man,179
rhop00028,AUSTRALIA,man,168
rhop00029,AUSTRALIA,man,184
rhop00030,AUSTRALIA,man,172
rhop00031,AUSTRALIA,man,191
rhop00032,AUSTRALIA,man,179
rhop00033,AUSTRALIA,man,169
rhop00034,AUSTRALIA,man,193
rhop00035,AUSTRALIA,man,184
rhop00036,AUSTRALIA,man,176
rhop00037,AUSTRALIA,man,177
rhop00038,AUSTRALIA,man,170
rhop00039,AUSTRALIA,man,183
rhop00040,AUSTRALIA,man,178
rhop00041,AUSTRALIA,man,184
rhop00042,AUSTRALIA,man,172
rhop00043,AUSTRALIA,man,183
rhop00044,AUSTRALIA,man,182
rhop00045,AUSTRALIA,man,176
rhop00046,AUSTRALIA,man,176
rhop00047,AUSTRALIA,man,171
rhop00048,AUSTRALIA,man,184
rhop00049,AUSTRALIA,man,173
rhop00050,AUSTRALIA,man,174
rhop00051,AUSTRALIA,man,170
rhop00052,AUSTRALIA,man,181
rhop00053,AUSTRALIA,man,175
rhop00054,AUSTRALIA,man,181
rhop00055,AUSTRALIA,man,181
rhop00056,AUSTRALIA,man,183
rhop00057,AUSTRALIA,man,182
rhop00058,AUSTRALIA,man,173
rhop00059,AUSTRALIA,man,170
rhop00060,AUSTRALIA,man,184
rhop00061,AUSTRALIA,man,178
rhop00062,AUSTRALIA,man,176
rhop00063,AUSTRALIA,man,176
rhop00064,AUSTRALIA,man,174
rhop00065,AUSTRALIA,man,179
rhop00066,AUSTRALIA,man,172
rhop00067,AUSTRALIA,man,174
rhop00068,AUSTRALIA,man,180
rhop00069,AUSTRALIA,man,175
rhop00070,AUSTRALIA,man,184
rhop00071,AUSTRALIA,man,170
rhop00072,AUSTRALIA,man,172
rhop00073,AUSTRALIA,man,170
rhop00074,AUSTRALIA,man,173
rhop00075,AUSTRALIA,man,181
rhop00076,AUSTRALIA,man,184
rhop00077,AUSTRALIA,man,172
rhop00078,AUSTRALIA,man,179
rhop00079,AUSTRALIA,man,176
rhop00080,AUSTRALIA,man,184
rhop00081,AUSTRALIA,man,184
rhop00082,AUSTRALIA,man,183
rhop00083,AUSTRALIA,man,177
rhop00084,AUSTRALIA,man,183
rhop00085,AUSTRALIA,man,184
rhop00086,AUSTRALIA,man,173
rhop00087,AUSTRALIA,man,178
rhop00088,AUSTRALIA,man,182
rhop00089,AUSTRALIA,man,177
rhop00090,AUSTRALIA,woman,179
rhop00091,AUSTRALIA,woman,167
rhop00092,AUSTRALIA,woman,175
rhop00093,AUSTRALIA,woman,176
rhop00094,AUSTRALIA,woman,160
rhop00095,AUSTRALIA,woman,165
rhop00096,AUSTRALIA,woman,179
rhop00097,AUSTRALIA,woman,164
rhop00098,AUSTRALIA,woman,165
rhop00099,AUSTRALIA,woman,179
rhop00100,AUSTRALIA,woman,172
rhop00101,AUSTRALIA,woman,173
rhop00102,AUSTRALIA,woman,172
rhop00103,AUSTRALIA,woman,175
rhop00104,AUSTRALIA,woman,160
